,age,gender,dependents,occupation,customer_nw_category,current_balance,current_month_credit,previous_month_credit,churn
116,67,Male,0,self_employed,2,1515.7,0.16,0.16,0
117,48,Male,1,salaried,1,1905.79,1680.43,446.64,0
118,56,Male,0,self_employed,1,70.97,1386.34,29668.13,1
119,65,Male,1,retired,3,5945.69,30.17,29.66,0
120,40,Male,1,student,2,1100.97,0.47,0.47,1
121,66,Male,1,retired,1,20452.17,382.8,5910.64,1
122,37,Female,0,self_employed,2,3097.47,0.34,0.34,1
123,58,Female,1,self_employed,2,2123.8,2417.34,464.49,0
124,68,Male,0,retired,3,2101.47,0.27,0.27,0
125,34,Female,0,self_employed,3,5899.01,0.11,428.69,0
126,71,Male,0,retired,2,844.46,0.07,0.07,1
127,46,Male,1,salaried,3,2409.49,122.03,122.03,0
128,43,Male,1,self_employed,2,5182.72,0.41,886.13,0
129,66,Male,0,self_employed,1,6685.16,2201.54,13495.49,0
130,52,Male,0,self_employed,3,9474.09,6429.01,0.44,0
131,43,Male,1,salaried,3,1460.15,0.13,8742.99,0
132,31,Female,1,self_employed,3,7020.3,0.16,0.16,0
133,3,Female,0,student,2,1863.74,0.64,0.64,0
134,45,Male,0,self_employed,1,2189.03,1038.1,3043.03,0
135,41,Female,0,self_employed,2,6212.04,91.04,91.04,0
136,35,Female,0,self_employed,3,1072.56,0.21,0.21,0
137,41,Male,1,self_employed,3,5026.63,2426.9,2285.04,0
138,39,Male,0,self_employed,2,1570.66,21.84,0.41,0
139,49,Female,0,self_employed,2,5796.61,0.17,412.88,0
140,30,Male,0,self_employed,2,1642.73,0.54,0.54,0
141,30,Female,0,self_employed,2,2348.97,0.2,0.2,0
142,25,Male,1,self_employed,3,314.23,1159.94,5088.96,1
143,42,Female,0,self_employed,3,279.79,62.01,62.09,1
144,45,Male,0,self_employed,2,2357.64,7058.77,1364.71,0
145,74,Male,0,retired,3,16917.74,0.54,0.54,0
146,28,Male,0,self_employed,3,4689.26,0.09,194.11,0
147,28,Male,0,self_employed,2,3725.73,185.77,2257.2,0
148,34,Male,0,self_employed,2,7634.87,0.16,0.16,0
149,49,Female,0,self_employed,1,3158.08,4286.36,6572.07,1
150,40,Female,0,salaried,2,2404.56,2143.13,5143.13,0
151,32,Male,0,salaried,3,2059.04,0.61,0.61,0
152,39,Male,0,salaried,2,5718.2,0.31,714.6,0
153,44,Male,0,self_employed,2,6888.19,0.69,0.69,0
154,52,Female,0,salaried,2,8836.28,6232.31,0.19,0
155,36,Female,0,self_employed,3,1471.2,0.53,929.1,0
156,51,Female,0,salaried,2,3712.09,0.36,0.36,0
157,83,Female,0,retired,1,0.51,0.51,0.51,1
158,23,Female,0,student,3,10657.76,0.01,0.01,0
159,52,Male,0,salaried,3,3278.11,0.56,0.56,0
160,49,Female,0,self_employed,2,4003.75,1057.36,0.21,0
161,29,Female,0,self_employed,2,23847.85,0.01,0.01,0
162,46,Male,1,self_employed,3,1633.2,714.37,0.09,0
163,31,Female,0,self_employed,3,11651.82,0.59,0.59,1
164,63,Male,1,self_employed,3,14901.34,282.99,512.06,0
165,26,Male,0,salaried,1,2354.29,2.36,0.64,0
166,43,Male,1,self_employed,2,29599.74,81428.59,2142.87,0
167,35,Male,0,salaried,1,1799.94,0.29,0.29,0
168,75,Male,0,retired,2,10309.02,0.56,0.56,0
169,39,Female,0,salaried,3,4970.13,0.54,261.28,0
170,31,Male,0,salaried,2,5654.08,0.26,0.26,0
171,64,Female,0,self_employed,2,7154.35,1497.44,1497.44,0
172,29,Female,0,self_employed,2,2842.3,0.24,0.24,1
173,48,Female,0,self_employed,2,1404.0,2571.44,0.78,0
174,49,Male,0,self_employed,3,1898.54,0.51,0.51,0
175,55,Female,0,self_employed,2,43211.61,0.47,0.47,0
176,37,Male,0,self_employed,2,1739.81,0.1,0.1,0
177,44,Female,0,self_employed,3,2462.65,677.0,846.97,0
178,36,Female,0,self_employed,1,2630.36,285.91,285.91,0
179,28,Female,0,self_employed,2,10725.2,0.51,0.51,0
180,49,Female,0,salaried,3,665.33,75.29,3.67,0
181,45,Male,1,self_employed,2,4617.63,0.7,5296.27,0
182,43,Female,0,self_employed,2,4481.2,357.19,285.76,0
183,30,Female,0,self_employed,3,2683.0,0.6,0.6,0
184,90,Male,0,self_employed,3,1841.96,0.49,0.49,0
185,36,Female,0,self_employed,3,2947.01,185.76,185.76,0
186,67,Male,0,self_employed,1,1433.48,3133.6,0.16,1
187,65,Male,0,self_employed,2,5823.36,0.11,0.11,0
188,90,Male,0,self_employed,3,4178.06,698.61,270.04,0
189,90,Male,0,self_employed,1,138.71,250929.19,57857.76,1
190,42,Male,0,salaried,2,2191.51,0.11,0.11,0
191,38,Female,0,self_employed,3,1756.94,671.64,3158.56,0
192,75,Female,0,self_employed,2,1433.21,2857.4,1428.83,1
193,32,Male,0,salaried,3,2076.81,2870.64,8573.46,0
194,61,Male,0,self_employed,3,3731.2,286.3,0.59,0
195,55,Male,0,salaried,2,7110.16,823.37,1020.09,0
196,64,Male,0,retired,3,2479.97,0.07,0.07,1
197,52,Female,0,self_employed,3,1464.17,0.26,0.26,0
198,41,Male,0,self_employed,2,3975.23,0.11,714.4,0
199,28,Female,0,salaried,3,278.57,0.64,0.64,1
200,3,Female,0,student,1,4163.26,0.07,0.07,0
201,69,Female,0,self_employed,2,13701.91,0.2,0.2,0
202,35,Female,1,self_employed,3,1983.16,364.64,929.19,0
203,49,Female,1,self_employed,1,16120.07,0.13,0.13,0
204,28,Male,0,salaried,2,5243.46,2624.97,187.31,1
205,55,Female,0,salaried,3,1738.95,0.13,0.13,0
206,42,Female,0,self_employed,2,6689.29,0.19,0.19,0
207,45,Male,1,self_employed,2,5315.57,286.0,0.29,0
208,45,Male,0,salaried,3,2764.84,0.21,643.07,0
209,39,Male,0,self_employed,3,2205.39,857.7,0.56,0
210,38,Female,0,self_employed,3,1595.33,0.17,0.17,0
211,69,Female,0,self_employed,3,7579.44,0.59,143.44,0
212,30,Female,0,self_employed,2,3843.06,0.47,0.47,1
213,59,Male,1,salaried,3,5532.14,0.43,0.43,0
214,21,Female,0,student,2,2818.51,2142.97,4072.69,0
215,28,Male,0,student,2,900.93,1429.5,0.11,1
216,60,Female,0,salaried,3,3486.24,0.44,0.44,0
217,43,Male,1,salaried,1,1053.65,12175.54,15032.69,1
218,42,Male,0,salaried,2,2399.45,0.41,0.41,0
219,31,Female,0,student,2,6251.19,0.47,0.47,0
220,56,Male,0,self_employed,1,4142.83,0.01,0.01,0
221,33,Female,0,self_employed,2,1700.94,214.41,0.13,0
222,66,Female,0,self_employed,3,3102.16,0.23,0.23,0
223,70,Male,0,retired,2,18187.37,176.14,0.29,0
224,44,Male,0,salaried,3,2163.68,0.47,0.47,1
225,42,Male,0,self_employed,3,390.24,1214.87,757.73,1
226,23,Male,0,student,3,6011.64,0.46,0.46,0
227,45,Male,0,salaried,2,2471.72,0.29,0.29,0
228,70,Male,0,retired,3,9056.51,0.13,0.13,0
229,67,Male,0,retired,2,3896.99,0.31,1798.37,0
230,33,Female,0,self_employed,3,3221.37,4549.65,214.66,0
231,40,Male,1,self_employed,2,261.77,7185.24,28016.39,1
232,36,Male,1,self_employed,2,10404.34,340693.26,0.63,0
233,58,Female,0,self_employed,3,2288.18,0.06,0.06,0
234,90,Male,0,self_employed,2,12827.71,11748.99,693.26,0
235,77,Male,0,retired,2,8263.48,0.16,0.16,0
236,42,Male,0,self_employed,2,2695.29,0.1,0.1,1
237,59,Male,0,salaried,2,563.65,0.06,0.06,0
238,37,Male,1,salaried,3,3182.99,3614.99,0.7,0
239,29,Male,0,self_employed,2,1773.22,0.13,1471.56,0
240,49,Male,0,self_employed,2,5873.4,0.5,0.5,0
241,45,Female,0,self_employed,3,2766.59,0.72,0.99,0
242,64,Male,1,retired,2,5003.27,0.26,0.26,0
243,49,Male,0,salaried,2,18610.35,10943.97,31586.83,0
244,47,Male,1,self_employed,2,5382.59,214.97,386.4,0
245,81,Male,0,retired,1,244686.74,37857.84,214286.41,0
246,18,Female,0,student,1,5954.78,4785.4,0.21,0
247,60,Female,0,retired,3,3840.8,0.24,0.24,0
248,39,Male,1,self_employed,3,1933.12,357.83,779.26,1
249,52,Female,0,salaried,1,3335.44,281428.8,16214.51,1
250,64,Female,0,self_employed,2,27118.65,57703.29,712.86,0
251,41,Female,0,self_employed,3,1691.27,0.1,0.1,0
252,50,Male,0,self_employed,2,1503.34,0.44,0.44,0
253,38,Male,0,self_employed,2,1689.22,0.07,0.07,0
254,53,Female,0,self_employed,2,7811.02,7115.53,0.01,1
255,54,Female,0,self_employed,2,5664.38,0.03,0.03,1
256,77,Female,0,self_employed,1,1828.39,0.27,0.27,0
257,63,Male,0,self_employed,3,2684.38,0.36,0.36,0
258,63,Male,0,retired,3,1964.42,0.34,214.63,1
259,15,Male,0,student,2,3313.3,0.57,0.57,0
260,28,Female,0,self_employed,2,430.31,0.67,0.67,1
261,60,Male,0,salaried,3,2085.46,2857.39,0.24,0
262,39,Female,0,self_employed,1,4093.32,0.53,3.72,1
263,61,Male,0,salaried,2,7506.81,0.23,0.23,0
264,90,Male,0,retired,2,21608.91,260.11,1421.29,0
265,53,Male,1,self_employed,3,2918.97,0.03,0.03,0
266,31,Male,0,self_employed,3,1031.8,0.59,1714.87,0
267,32,Male,0,salaried,1,1069.08,0.5,0.5,1
268,24,Male,0,self_employed,3,144.75,0.51,0.51,1
269,23,Male,0,salaried,2,4287.7,0.5,4292.14,0
270,32,Male,1,salaried,2,10678.88,11128.9,343.39,0
271,55,Male,1,self_employed,3,1565.69,0.06,371.49,0
272,60,Male,1,salaried,2,9178.6,0.5,0.5,0
273,49,Male,0,salaried,3,1216.68,114.53,0.24,1
274,37,Female,0,self_employed,2,3431.4,0.67,0.67,0
275,44,Male,0,self_employed,2,3649.25,2914.83,2343.46,0
276,69,Female,0,self_employed,1,1361.62,1361.7,0.03,0
277,33,Female,0,self_employed,3,31851.55,0.26,43214.54,0
278,36,Male,0,salaried,2,12600.99,0.47,0.47,0
279,29,Male,0,student,2,6504.13,893.81,0.39,0
280,44,Male,1,self_employed,3,5342.3,0.1,0.1,0
281,54,Female,0,self_employed,3,1490.51,0.03,0.03,0
282,33,Female,0,salaried,3,49.98,0.49,18589.0,0
283,62,Male,1,self_employed,2,10530.02,0.92,1.37,1
284,47,Male,1,self_employed,2,20638.15,8.03,0.1,0
285,60,Male,0,self_employed,3,2393.6,0.6,100.6,0
286,42,Female,0,self_employed,2,1445.26,0.61,0.61,0
287,53,Female,0,self_employed,1,2047.77,316.29,1214.86,1
288,46,Female,0,salaried,1,821.18,1943.26,212.21,0
289,31,Male,0,self_employed,3,935.82,0.27,0.27,1
290,75,Male,0,retired,2,4151.56,0.01,834.06,0
291,56,Male,1,self_employed,2,2653.58,286.0,10576.53,1
292,6,Female,0,student,2,3127.64,0.4,0.4,1
293,24,Male,0,salaried,2,5834.67,0.57,0.57,0
294,66,Male,0,self_employed,2,17736.13,0.3,0.3,0
295,70,Male,0,self_employed,1,3075.61,0.49,0.49,0
296,52,Male,0,salaried,3,2653.6,0.57,0.57,0
297,40,Female,0,self_employed,3,5860.13,0.6,0.6,0
298,34,Male,0,salaried,2,6138.46,0.43,0.43,0
299,35,Female,0,salaried,2,233.48,0.19,0.19,0
300,60,Male,0,self_employed,1,11053.83,0.06,7857.2,1
301,61,Female,1,self_employed,3,588.02,2998.93,0.56,1
302,48,Female,0,self_employed,2,6885.54,0.27,0.27,0
303,55,Male,0,salaried,2,4265.8,0.29,0.29,0
304,73,Male,0,retired,3,10359.91,0.03,0.03,0
305,61,Female,0,self_employed,2,1536.82,243.49,243.49,1
306,29,Male,0,self_employed,2,4634.83,948.37,826.11,0
307,38,Female,0,salaried,3,15426.05,0.54,0.54,0
308,42,Male,0,self_employed,2,12494.86,0.57,0.57,0
309,52,Female,0,self_employed,2,3821.35,0.13,0.13,0
310,30,Male,1,self_employed,3,3779.86,0.21,0.21,0
311,36,Female,0,self_employed,2,4135.04,0.23,0.23,0
312,60,Male,0,salaried,1,1642.26,1052.13,0.39,0
313,70,Male,0,self_employed,2,17795.8,0.67,0.67,0
314,47,Male,1,salaried,1,8382.26,5540.61,15624.85,0
315,28,Male,0,self_employed,2,4746.17,0.23,0.23,0
316,50,Female,0,salaried,3,4390.99,0.09,0.09,0
317,65,Female,0,self_employed,1,1784.91,371.9,107.11,1
318,29,Male,0,self_employed,2,411.42,0.14,2742.15,1
319,61,Female,0,self_employed,2,1226.72,0.07,7422.57,1
320,53,Female,0,self_employed,2,1681.07,0.49,143.34,0
321,33,Male,0,self_employed,3,3124.75,0.03,0.03,0
322,70,Male,0,retired,3,4926.41,5042.84,0.41,0
323,54,Male,0,self_employed,2,23290.3,20176.57,52186.93,0
324,21,Male,0,student,1,689.86,0.69,0.69,0
325,48,Male,0,self_employed,2,19583.65,18447.63,5818.49,0
326,39,Male,0,salaried,3,1741.68,0.11,0.11,0
327,67,Female,0,retired,2,10716.44,714.36,928.64,0
328,47,Female,0,self_employed,3,6299.99,314.59,0.3,0
329,71,Male,1,self_employed,1,95267.56,88336.6,0.33,0
330,52,Male,0,self_employed,1,14939.89,0.03,0.03,1
331,60,Female,0,company,3,1257.16,0.57,0.57,1
332,26,Male,0,self_employed,3,2360.45,0.6,0.6,0
333,39,Female,0,self_employed,1,3780.22,389.76,0.59,0
334,57,Male,0,self_employed,2,11624.4,671.47,214.33,0
335,37,Male,0,self_employed,2,5968.77,3290.3,8008.71,1
336,51,Male,0,self_employed,3,380.81,1857.84,0.7,0
337,44,Male,1,self_employed,2,1366.21,0.36,0.36,0
338,67,Male,1,retired,2,7834.62,0.53,0.53,0
339,41,Male,1,salaried,3,1646.63,57.71,0.57,0
340,40,Female,0,self_employed,3,1886.36,0.14,0.14,1
341,39,Female,0,self_employed,2,4349.95,0.41,0.41,0
342,33,Male,1,salaried,1,3317.67,14607.06,34285.77,0
343,22,Female,0,student,3,3576.66,0.53,3539.24,0
344,41,Male,1,self_employed,3,1338.22,1429.19,0.61,0
345,65,Female,0,self_employed,2,1369.66,1285.74,0.03,0
346,47,Female,0,self_employed,3,4839.68,0.66,72.09,0
347,80,Female,0,self_employed,3,2980.05,0.47,0.47,0
348,62,Male,1,self_employed,2,6191.44,5748.82,187.04,1
349,63,Female,0,self_employed,3,6028.34,5117.79,0.11,0
350,32,Female,0,self_employed,3,289.21,2285.89,0.17,1
351,26,Male,0,student,2,5427.68,0.31,0.31,0
352,30,Female,0,self_employed,2,22776.74,4285.83,0.11,0
353,65,Female,0,self_employed,2,4250.35,494.63,494.63,0
354,35,Female,0,self_employed,1,10931.0,0.34,0.34,1
355,52,Male,0,self_employed,2,7491.74,929.0,597.94,0
356,47,Female,0,self_employed,2,2415.04,0.46,0.46,0
357,34,Male,0,self_employed,3,1466.71,0.29,0.29,0
358,64,Male,0,retired,2,12140.41,0.19,0.19,0
359,53,Female,0,self_employed,3,2638.96,0.09,0.09,0
360,51,Female,0,self_employed,1,676.16,1050.39,1050.39,1
361,54,Female,0,self_employed,3,1917.69,63.09,5095.69,0
362,24,Male,0,self_employed,3,2926.73,285.81,714.39,0
363,24,Male,0,self_employed,2,1476.47,0.23,2143.09,0
364,25,Male,0,student,1,9027.5,0.17,0.17,0
365,22,Female,0,student,2,2175.61,214.81,214.81,0
366,32,Male,0,self_employed,3,3970.64,0.2,0.2,0
367,59,Male,1,salaried,1,11397.37,2857.33,10000.19,0
368,84,Female,0,self_employed,2,68219.95,0.61,0.61,0
369,20,Male,0,student,2,1491.57,12857.76,0.61,0
370,70,Female,0,self_employed,2,1660.27,0.3,0.3,0
371,46,Female,0,self_employed,2,9816.06,0.67,0.67,0
372,61,Female,0,self_employed,2,1710.67,0.19,0.19,0
373,50,Male,0,self_employed,2,1324.67,0.06,0.06,0
374,39,Male,1,salaried,3,2091.15,700.09,1714.37,0
375,44,Female,0,self_employed,3,1927.44,0.69,0.69,0
376,90,Male,0,self_employed,2,12122.37,0.33,1202.99,0
377,46,Female,0,self_employed,3,190.9,2143.44,0.59,1
378,23,Female,0,student,2,2440.37,0.5,0.5,0
379,42,Male,0,salaried,2,13499.17,1788.39,0.49,0
380,43,Male,0,self_employed,2,26291.66,35714.69,0.4,1
381,27,Female,0,self_employed,2,1642.87,1.21,1.21,0
382,30,Male,0,self_employed,3,37032.89,0.23,0.23,0
383,39,Male,0,salaried,3,7225.35,493.19,257.47,0
384,54,Female,0,self_employed,3,253.98,0.46,0.46,0
385,49,Male,0,self_employed,1,2788.05,2984.84,736.31,0
386,22,Male,0,salaried,2,3674.8,0.23,0.64,0
387,47,Male,0,self_employed,2,1744.56,1850.65,0.39,0
388,90,Male,0,self_employed,2,2632.73,0.56,0.56,0
389,61,Female,0,salaried,3,2159.16,1678.36,849.16,0
390,71,Female,0,self_employed,3,82.99,4532.76,1919.5,1
391,71,Female,0,self_employed,3,4025.3,171.84,171.84,0
392,35,Male,0,self_employed,2,2111.72,64.73,1326.16,0
393,35,Female,0,self_employed,3,1434.09,0.14,0.14,0
394,60,Female,0,self_employed,2,977.78,1038.13,3704.04,0
395,48,Male,0,salaried,3,8044.33,2160.91,2198.13,0
396,42,Male,0,self_employed,1,1654.48,14510.99,9982.44,0
397,43,Male,0,salaried,3,4005.96,0.31,0.31,0
398,35,Male,0,salaried,2,4482.78,235.4,349.17,0
399,31,Male,0,self_employed,3,11152.16,26243.76,0.19,0
400,36,Male,1,self_employed,3,3297.9,0.1,0.1,0
401,48,Male,1,salaried,3,6695.64,0.57,163.71,0
402,46,Male,0,salaried,2,15897.82,0.07,0.07,0
403,73,Male,1,salaried,2,4749.95,1492.26,1024.63,0
404,29,Male,0,self_employed,3,1802.77,200.3,200.3,0
405,71,Male,0,retired,3,5471.59,0.51,0.51,0
406,38,Male,0,salaried,2,5087.55,0.5,714.79,0
407,53,Male,0,self_employed,2,8662.45,0.16,0.16,0
408,69,Female,0,self_employed,2,33710.69,6143.27,28.99,0
409,57,Female,1,self_employed,2,15497.07,0.53,0.53,0
410,53,Male,0,salaried,2,2678.91,0.07,0.07,0
411,14,Male,0,student,1,2676.85,0.04,0.04,0
412,55,Female,0,self_employed,1,3614.8,0.17,0.17,0
413,77,Female,0,self_employed,1,7337.71,1017.53,1373.04,0
414,40,Male,0,self_employed,2,8459.52,932.16,0.67,0
415,51,Male,0,self_employed,3,2140.74,0.34,1143.2,0
416,24,Female,0,student,3,3460.39,132.97,71.54,0
417,64,Female,0,self_employed,3,2084.21,173.83,0.49,0
418,28,Male,1,salaried,3,2750.7,1243.5,386.56,0
419,86,Male,1,retired,1,6789.15,1147.19,50.6,0
420,36,Female,0,self_employed,3,8401.85,1.29,1140.11,0
421,27,Female,0,self_employed,3,3565.7,1767.29,0.14,0
422,39,Male,1,self_employed,3,7668.45,1714.33,0.04,0
423,27,Female,0,self_employed,2,2630.16,1400.53,0.53,0
424,40,Female,0,self_employed,2,6224.13,0.1,685.81,0
425,56,Female,0,self_employed,2,1405.32,142.96,142.96,0
426,75,Male,1,self_employed,2,15723.03,786.21,686.21,0
427,44,Male,1,self_employed,2,19778.1,0.5,12079.03,0
428,63,Male,0,self_employed,3,2093.2,0.47,0.47,0
429,33,Male,1,self_employed,3,1869.58,0.14,214.43,0
430,44,Male,0,self_employed,2,1843.14,0.39,0.39,0
431,51,Female,0,self_employed,2,1475.26,0.31,0.31,0
432,76,Male,0,self_employed,1,1463.67,0.59,0.59,0
433,64,Male,0,self_employed,2,503.56,0.04,2857.19,1
434,78,Male,0,self_employed,1,5160.25,43.0,43.0,0
435,34,Male,1,self_employed,1,695.23,14749.91,4325.9,0
436,65,Female,0,self_employed,2,14943.26,0.21,0.21,0
437,58,Male,1,salaried,3,4330.44,0.2,1428.77,0
438,52,Female,0,self_employed,2,4491.79,143.01,10.32,1
439,40,Male,1,self_employed,3,5092.49,150.36,0.36,0
440,42,Female,0,self_employed,2,4746.58,0.63,0.63,0
441,20,Male,0,student,3,1775.47,0.53,31.39,0
442,50,Female,0,salaried,2,17946.86,0.09,0.09,0
443,53,Female,0,self_employed,2,11252.14,0.04,0.04,0
444,47,Female,0,self_employed,2,4928.89,6907.4,11147.37,1
445,47,Female,0,self_employed,2,5163.22,0.27,643.13,0
446,35,Female,0,self_employed,2,3267.88,0.24,0.24,0
447,26,Female,0,student,2,29.59,0.61,0.61,1
448,43,Female,0,self_employed,2,475.54,5857.46,0.31,0
449,36,Female,0,self_employed,3,6128.43,0.49,0.49,0
450,34,Male,0,self_employed,2,3050.77,643.53,0.67,0
