,age,dependents,occupation,customer_nw_category,current_balance,current_month_credit,previous_month_credit,churn,gender_Female,gender_Male
125,34,0,2,0,5899.01,0.11,428.69,0,1,0
126,71,0,4,1,844.46,0.07,0.07,1,0,1
127,46,1,1,0,2409.49,122.03,122.03,0,0,1
128,43,1,2,1,5182.72,0.41,886.13,0,0,1
129,66,0,2,3,6685.16,2201.54,13495.49,0,0,1
130,52,0,2,0,9474.09,6429.01,0.44,0,0,1
131,43,1,1,0,1460.15,0.13,8742.99,0,0,1
132,31,1,2,0,7020.3,0.16,0.16,0,1,0
133,3,0,0,1,1863.74,0.64,0.64,0,1,0
134,45,0,2,3,2189.03,1038.1,3043.03,0,0,1
135,41,0,2,1,6212.04,91.04,91.04,0,1,0
136,35,0,2,0,1072.56,0.21,0.21,0,1,0
137,41,1,2,0,5026.63,2426.9,2285.04,0,0,1
138,39,0,2,1,1570.66,21.84,0.41,0,0,1
139,49,0,2,1,5796.61,0.17,412.88,0,1,0
140,30,0,2,1,1642.73,0.54,0.54,0,0,1
141,30,0,2,1,2348.97,0.2,0.2,0,1,0
142,25,1,2,0,314.23,1159.94,5088.96,1,0,1
143,42,0,2,0,279.79,62.01,62.09,1,1,0
144,45,0,2,1,2357.64,7058.77,1364.71,0,0,1
145,74,0,4,0,16917.74,0.54,0.54,0,0,1
146,28,0,2,0,4689.26,0.09,194.11,0,0,1
147,28,0,2,1,3725.73,185.77,2257.2,0,0,1
148,34,0,2,1,7634.87,0.16,0.16,0,0,1
149,49,0,2,3,3158.08,4286.36,6572.07,1,1,0
150,40,0,1,1,2404.56,2143.13,5143.13,0,1,0
151,32,0,1,0,2059.04,0.61,0.61,0,0,1
152,39,0,1,1,5718.2,0.31,714.6,0,0,1
153,44,0,2,1,6888.19,0.69,0.69,0,0,1
154,52,0,1,1,8836.28,6232.31,0.19,0,1,0
155,36,0,2,0,1471.2,0.53,929.1,0,1,0
156,51,0,1,1,3712.09,0.36,0.36,0,1,0
157,83,0,4,3,0.51,0.51,0.51,1,1,0
158,23,0,0,0,10657.76,0.01,0.01,0,1,0
159,52,0,1,0,3278.11,0.56,0.56,0,0,1
160,49,0,2,1,4003.75,1057.36,0.21,0,1,0
161,29,0,2,1,23847.85,0.01,0.01,0,1,0
162,46,1,2,0,1633.2,714.37,0.09,0,0,1
163,31,0,2,0,11651.82,0.59,0.59,1,1,0
164,63,1,2,0,14901.34,282.99,512.06,0,0,1
165,26,0,1,3,2354.29,2.36,0.64,0,0,1
166,43,1,2,1,29599.74,81428.59,2142.87,0,0,1
167,35,0,1,3,1799.94,0.29,0.29,0,0,1
168,75,0,4,1,10309.02,0.56,0.56,0,0,1
169,39,0,1,0,4970.13,0.54,261.28,0,1,0
170,31,0,1,1,5654.08,0.26,0.26,0,0,1
171,64,0,2,1,7154.35,1497.44,1497.44,0,1,0
172,29,0,2,1,2842.3,0.24,0.24,1,1,0
173,48,0,2,1,1404.0,2571.44,0.78,0,1,0
174,49,0,2,0,1898.54,0.51,0.51,0,0,1
175,55,0,2,1,43211.61,0.47,0.47,0,1,0
176,37,0,2,1,1739.81,0.1,0.1,0,0,1
177,44,0,2,0,2462.65,677.0,846.97,0,1,0
178,36,0,2,3,2630.36,285.91,285.91,0,1,0
179,28,0,2,1,10725.2,0.51,0.51,0,1,0
180,49,0,1,0,665.33,75.29,3.67,0,1,0
181,45,1,2,1,4617.63,0.7,5296.27,0,0,1
182,43,0,2,1,4481.2,357.19,285.76,0,1,0
183,30,0,2,0,2683.0,0.6,0.6,0,1,0
184,90,0,2,0,1841.96,0.49,0.49,0,0,1
185,36,0,2,0,2947.01,185.76,185.76,0,1,0
186,67,0,2,3,1433.48,3133.6,0.16,1,0,1
187,65,0,2,1,5823.36,0.11,0.11,0,0,1
188,90,0,2,0,4178.06,698.61,270.04,0,0,1
189,90,0,2,3,138.71,250929.19,57857.76,1,0,1
190,42,0,1,1,2191.51,0.11,0.11,0,0,1
191,38,0,2,0,1756.94,671.64,3158.56,0,1,0
192,75,0,2,1,1433.21,2857.4,1428.83,1,1,0
193,32,0,1,0,2076.81,2870.64,8573.46,0,0,1
194,61,0,2,0,3731.2,286.3,0.59,0,0,1
195,55,0,1,1,7110.16,823.37,1020.09,0,0,1
196,64,0,4,0,2479.97,0.07,0.07,1,0,1
197,52,0,2,0,1464.17,0.26,0.26,0,1,0
198,41,0,2,1,3975.23,0.11,714.4,0,0,1
199,28,0,1,0,278.57,0.64,0.64,1,1,0
200,3,0,0,3,4163.26,0.07,0.07,0,1,0
201,69,0,2,1,13701.91,0.2,0.2,0,1,0
202,35,1,2,0,1983.16,364.64,929.19,0,1,0
203,49,1,2,3,16120.07,0.13,0.13,0,1,0
204,28,0,1,1,5243.46,2624.97,187.31,1,0,1
205,55,0,1,0,1738.95,0.13,0.13,0,1,0
206,42,0,2,1,6689.29,0.19,0.19,0,1,0
207,45,1,2,1,5315.57,286.0,0.29,0,0,1
208,45,0,1,0,2764.84,0.21,643.07,0,0,1
209,39,0,2,0,2205.39,857.7,0.56,0,0,1
210,38,0,2,0,1595.33,0.17,0.17,0,1,0
211,69,0,2,0,7579.44,0.59,143.44,0,1,0
212,30,0,2,1,3843.06,0.47,0.47,1,1,0
213,59,1,1,0,5532.14,0.43,0.43,0,0,1
214,21,0,0,1,2818.51,2142.97,4072.69,0,1,0
215,28,0,0,1,900.93,1429.5,0.11,1,0,1
216,60,0,1,0,3486.24,0.44,0.44,0,1,0
217,43,1,1,3,1053.65,12175.54,15032.69,1,0,1
218,42,0,1,1,2399.45,0.41,0.41,0,0,1
219,31,0,0,1,6251.19,0.47,0.47,0,1,0
220,56,0,2,3,4142.83,0.01,0.01,0,0,1
221,33,0,2,1,1700.94,214.41,0.13,0,1,0
222,66,0,2,0,3102.16,0.23,0.23,0,1,0
223,70,0,4,1,18187.37,176.14,0.29,0,0,1
224,44,0,1,0,2163.68,0.47,0.47,1,0,1
225,42,0,2,0,390.24,1214.87,757.73,1,0,1
226,23,0,0,0,6011.64,0.46,0.46,0,0,1
227,45,0,1,1,2471.72,0.29,0.29,0,0,1
228,70,0,4,0,9056.51,0.13,0.13,0,0,1
229,67,0,4,1,3896.99,0.31,1798.37,0,0,1
230,33,0,2,0,3221.37,4549.65,214.66,0,1,0
231,40,1,2,1,261.77,7185.24,28016.39,1,0,1
232,36,1,2,1,10404.34,340693.26,0.63,0,0,1
233,58,0,2,0,2288.18,0.06,0.06,0,1,0
234,90,0,2,1,12827.71,11748.99,693.26,0,0,1
235,77,0,4,1,8263.48,0.16,0.16,0,0,1
236,42,0,2,1,2695.29,0.1,0.1,1,0,1
237,59,0,1,1,563.65,0.06,0.06,0,0,1
238,37,1,1,0,3182.99,3614.99,0.7,0,0,1
239,29,0,2,1,1773.22,0.13,1471.56,0,0,1
240,49,0,2,1,5873.4,0.5,0.5,0,0,1
241,45,0,2,0,2766.59,0.72,0.99,0,1,0
242,64,1,4,1,5003.27,0.26,0.26,0,0,1
243,49,0,1,1,18610.35,10943.97,31586.83,0,0,1
244,47,1,2,1,5382.59,214.97,386.4,0,0,1
245,81,0,4,3,244686.74,37857.84,214286.41,0,0,1
246,18,0,0,3,5954.78,4785.4,0.21,0,1,0
247,60,0,4,0,3840.8,0.24,0.24,0,1,0
248,39,1,2,0,1933.12,357.83,779.26,1,0,1
249,52,0,1,3,3335.44,281428.8,16214.51,1,1,0
250,64,0,2,1,27118.65,57703.29,712.86,0,1,0
251,41,0,2,0,1691.27,0.1,0.1,0,1,0
252,50,0,2,1,1503.34,0.44,0.44,0,0,1
253,38,0,2,1,1689.22,0.07,0.07,0,0,1
254,53,0,2,1,7811.02,7115.53,0.01,1,1,0
255,54,0,2,1,5664.38,0.03,0.03,1,1,0
256,77,0,2,3,1828.39,0.27,0.27,0,1,0
257,63,0,2,0,2684.38,0.36,0.36,0,0,1
258,63,0,4,0,1964.42,0.34,214.63,1,0,1
259,15,0,0,1,3313.3,0.57,0.57,0,0,1
260,28,0,2,1,430.31,0.67,0.67,1,1,0
261,60,0,1,0,2085.46,2857.39,0.24,0,0,1
262,39,0,2,3,4093.32,0.53,3.72,1,1,0
263,61,0,1,1,7506.81,0.23,0.23,0,0,1
264,90,0,4,1,21608.91,260.11,1421.29,0,0,1
265,53,1,2,0,2918.97,0.03,0.03,0,0,1
266,31,0,2,0,1031.8,0.59,1714.87,0,0,1
267,32,0,1,3,1069.08,0.5,0.5,1,0,1
268,24,0,2,0,144.75,0.51,0.51,1,0,1
269,23,0,1,1,4287.7,0.5,4292.14,0,0,1
270,32,1,1,1,10678.88,11128.9,343.39,0,0,1
271,55,1,2,0,1565.69,0.06,371.49,0,0,1
272,60,1,1,1,9178.6,0.5,0.5,0,0,1
273,49,0,1,0,1216.68,114.53,0.24,1,0,1
274,37,0,2,1,3431.4,0.67,0.67,0,1,0
275,44,0,2,1,3649.25,2914.83,2343.46,0,0,1
276,69,0,2,3,1361.62,1361.7,0.03,0,1,0
277,33,0,2,0,31851.55,0.26,43214.54,0,1,0
278,36,0,1,1,12600.99,0.47,0.47,0,0,1
279,29,0,0,1,6504.13,893.81,0.39,0,0,1
280,44,1,2,0,5342.3,0.1,0.1,0,0,1
281,54,0,2,0,1490.51,0.03,0.03,0,1,0
282,33,0,1,0,49.98,0.49,18589.0,0,1,0
283,62,1,2,1,10530.02,0.92,1.37,1,0,1
284,47,1,2,1,20638.15,8.03,0.1,0,0,1
285,60,0,2,0,2393.6,0.6,100.6,0,0,1
286,42,0,2,1,1445.26,0.61,0.61,0,1,0
287,53,0,2,3,2047.77,316.29,1214.86,1,1,0
288,46,0,1,3,821.18,1943.26,212.21,0,1,0
289,31,0,2,0,935.82,0.27,0.27,1,0,1
290,75,0,4,1,4151.56,0.01,834.06,0,0,1
291,56,1,2,1,2653.58,286.0,10576.53,1,0,1
292,6,0,0,1,3127.64,0.4,0.4,1,1,0
293,24,0,1,1,5834.67,0.57,0.57,0,0,1
294,66,0,2,1,17736.13,0.3,0.3,0,0,1
295,70,0,2,3,3075.61,0.49,0.49,0,0,1
296,52,0,1,0,2653.6,0.57,0.57,0,0,1
297,40,0,2,0,5860.13,0.6,0.6,0,1,0
298,34,0,1,1,6138.46,0.43,0.43,0,0,1
299,35,0,1,1,233.48,0.19,0.19,0,1,0
300,60,0,2,3,11053.83,0.06,7857.2,1,0,1
301,61,1,2,0,588.02,2998.93,0.56,1,1,0
302,48,0,2,1,6885.54,0.27,0.27,0,1,0
303,55,0,1,1,4265.8,0.29,0.29,0,0,1
304,73,0,4,0,10359.91,0.03,0.03,0,0,1
305,61,0,2,1,1536.82,243.49,243.49,1,1,0
306,29,0,2,1,4634.83,948.37,826.11,0,0,1
307,38,0,1,0,15426.05,0.54,0.54,0,1,0
308,42,0,2,1,12494.86,0.57,0.57,0,0,1
309,52,0,2,1,3821.35,0.13,0.13,0,1,0
310,30,1,2,0,3779.86,0.21,0.21,0,0,1
311,36,0,2,1,4135.04,0.23,0.23,0,1,0
312,60,0,1,3,1642.26,1052.13,0.39,0,0,1
313,70,0,2,1,17795.8,0.67,0.67,0,0,1
314,47,1,1,3,8382.26,5540.61,15624.85,0,0,1
315,28,0,2,1,4746.17,0.23,0.23,0,0,1
316,50,0,1,0,4390.99,0.09,0.09,0,1,0
317,65,0,2,3,1784.91,371.9,107.11,1,1,0
318,29,0,2,1,411.42,0.14,2742.15,1,0,1
319,61,0,2,1,1226.72,0.07,7422.57,1,1,0
320,53,0,2,1,1681.07,0.49,143.34,0,1,0
321,33,0,2,0,3124.75,0.03,0.03,0,0,1
322,70,0,4,0,4926.41,5042.84,0.41,0,0,1
323,54,0,2,1,23290.3,20176.57,52186.93,0,0,1
324,21,0,0,3,689.86,0.69,0.69,0,0,1
325,48,0,2,1,19583.65,18447.63,5818.49,0,0,1
326,39,0,1,0,1741.68,0.11,0.11,0,0,1
327,67,0,4,1,10716.44,714.36,928.64,0,1,0
328,47,0,2,0,6299.99,314.59,0.3,0,1,0
329,71,1,2,3,95267.56,88336.6,0.33,0,0,1
330,52,0,2,3,14939.89,0.03,0.03,1,0,1
331,60,0,3,0,1257.16,0.57,0.57,1,1,0
332,26,0,2,0,2360.45,0.6,0.6,0,0,1
333,39,0,2,3,3780.22,389.76,0.59,0,1,0
334,57,0,2,1,11624.4,671.47,214.33,0,0,1
335,37,0,2,1,5968.77,3290.3,8008.71,1,0,1
336,51,0,2,0,380.81,1857.84,0.7,0,0,1
337,44,1,2,1,1366.21,0.36,0.36,0,0,1
338,67,1,4,1,7834.62,0.53,0.53,0,0,1
339,41,1,1,0,1646.63,57.71,0.57,0,0,1
340,40,0,2,0,1886.36,0.14,0.14,1,1,0
341,39,0,2,1,4349.95,0.41,0.41,0,1,0
342,33,1,1,3,3317.67,14607.06,34285.77,0,0,1
343,22,0,0,0,3576.66,0.53,3539.24,0,1,0
344,41,1,2,0,1338.22,1429.19,0.61,0,0,1
345,65,0,2,1,1369.66,1285.74,0.03,0,1,0
346,47,0,2,0,4839.68,0.66,72.09,0,1,0
347,80,0,2,0,2980.05,0.47,0.47,0,1,0
348,62,1,2,1,6191.44,5748.82,187.04,1,0,1
349,63,0,2,0,6028.34,5117.79,0.11,0,1,0
350,32,0,2,0,289.21,2285.89,0.17,1,1,0
351,26,0,0,1,5427.68,0.31,0.31,0,0,1
352,30,0,2,1,22776.74,4285.83,0.11,0,1,0
353,65,0,2,1,4250.35,494.63,494.63,0,1,0
354,35,0,2,3,10931.0,0.34,0.34,1,1,0
355,52,0,2,1,7491.74,929.0,597.94,0,0,1
356,47,0,2,1,2415.04,0.46,0.46,0,1,0
357,34,0,2,0,1466.71,0.29,0.29,0,0,1
358,64,0,4,1,12140.41,0.19,0.19,0,0,1
359,53,0,2,0,2638.96,0.09,0.09,0,1,0
360,51,0,2,3,676.16,1050.39,1050.39,1,1,0
361,54,0,2,0,1917.69,63.09,5095.69,0,1,0
362,24,0,2,0,2926.73,285.81,714.39,0,0,1
363,24,0,2,1,1476.47,0.23,2143.09,0,0,1
364,25,0,0,3,9027.5,0.17,0.17,0,0,1
365,22,0,0,1,2175.61,214.81,214.81,0,1,0
366,32,0,2,0,3970.64,0.2,0.2,0,0,1
367,59,1,1,3,11397.37,2857.33,10000.19,0,0,1
368,84,0,2,1,68219.95,0.61,0.61,0,1,0
369,20,0,0,1,1491.57,12857.76,0.61,0,0,1
370,70,0,2,1,1660.27,0.3,0.3,0,1,0
371,46,0,2,1,9816.06,0.67,0.67,0,1,0
372,61,0,2,1,1710.67,0.19,0.19,0,1,0
373,50,0,2,1,1324.67,0.06,0.06,0,0,1
374,39,1,1,0,2091.15,700.09,1714.37,0,0,1
375,44,0,2,0,1927.44,0.69,0.69,0,1,0
376,90,0,2,1,12122.37,0.33,1202.99,0,0,1
377,46,0,2,0,190.9,2143.44,0.59,1,1,0
378,23,0,0,1,2440.37,0.5,0.5,0,1,0
379,42,0,1,1,13499.17,1788.39,0.49,0,0,1
380,43,0,2,1,26291.66,35714.69,0.4,1,0,1
381,27,0,2,1,1642.87,1.21,1.21,0,1,0
382,30,0,2,0,37032.89,0.23,0.23,0,0,1
383,39,0,1,0,7225.35,493.19,257.47,0,0,1
384,54,0,2,0,253.98,0.46,0.46,0,1,0
385,49,0,2,3,2788.05,2984.84,736.31,0,0,1
386,22,0,1,1,3674.8,0.23,0.64,0,0,1
387,47,0,2,1,1744.56,1850.65,0.39,0,0,1
388,90,0,2,1,2632.73,0.56,0.56,0,0,1
389,61,0,1,0,2159.16,1678.36,849.16,0,1,0
390,71,0,2,0,82.99,4532.76,1919.5,1,1,0
391,71,0,2,0,4025.3,171.84,171.84,0,1,0
392,35,0,2,1,2111.72,64.73,1326.16,0,0,1
393,35,0,2,0,1434.09,0.14,0.14,0,1,0
394,60,0,2,1,977.78,1038.13,3704.04,0,1,0
395,48,0,1,0,8044.33,2160.91,2198.13,0,0,1
396,42,0,2,3,1654.48,14510.99,9982.44,0,0,1
397,43,0,1,0,4005.96,0.31,0.31,0,0,1
398,35,0,1,1,4482.78,235.4,349.17,0,0,1
399,31,0,2,0,11152.16,26243.76,0.19,0,0,1
400,36,1,2,0,3297.9,0.1,0.1,0,0,1
401,48,1,1,0,6695.64,0.57,163.71,0,0,1
402,46,0,1,1,15897.82,0.07,0.07,0,0,1
403,73,1,1,1,4749.95,1492.26,1024.63,0,0,1
404,29,0,2,0,1802.77,200.3,200.3,0,0,1
405,71,0,4,0,5471.59,0.51,0.51,0,0,1
406,38,0,1,1,5087.55,0.5,714.79,0,0,1
407,53,0,2,1,8662.45,0.16,0.16,0,0,1
408,69,0,2,1,33710.69,6143.27,28.99,0,1,0
409,57,1,2,1,15497.07,0.53,0.53,0,1,0
410,53,0,1,1,2678.91,0.07,0.07,0,0,1
411,14,0,0,3,2676.85,0.04,0.04,0,0,1
412,55,0,2,3,3614.8,0.17,0.17,0,1,0
413,77,0,2,3,7337.71,1017.53,1373.04,0,1,0
414,40,0,2,1,8459.52,932.16,0.67,0,0,1
415,51,0,2,0,2140.74,0.34,1143.2,0,0,1
416,24,0,0,0,3460.39,132.97,71.54,0,1,0
417,64,0,2,0,2084.21,173.83,0.49,0,1,0
418,28,1,1,0,2750.7,1243.5,386.56,0,0,1
419,86,1,4,3,6789.15,1147.19,50.6,0,0,1
420,36,0,2,0,8401.85,1.29,1140.11,0,1,0
421,27,0,2,0,3565.7,1767.29,0.14,0,1,0
422,39,1,2,0,7668.45,1714.33,0.04,0,0,1
423,27,0,2,1,2630.16,1400.53,0.53,0,1,0
424,40,0,2,1,6224.13,0.1,685.81,0,1,0
425,56,0,2,1,1405.32,142.96,142.96,0,1,0
426,75,1,2,1,15723.03,786.21,686.21,0,0,1
427,44,1,2,1,19778.1,0.5,12079.03,0,0,1
428,63,0,2,0,2093.2,0.47,0.47,0,0,1
429,33,1,2,0,1869.58,0.14,214.43,0,0,1
430,44,0,2,1,1843.14,0.39,0.39,0,0,1
431,51,0,2,1,1475.26,0.31,0.31,0,1,0
432,76,0,2,3,1463.67,0.59,0.59,0,0,1
433,64,0,2,1,503.56,0.04,2857.19,1,0,1
434,78,0,2,3,5160.25,43.0,43.0,0,0,1
435,34,1,2,3,695.23,14749.91,4325.9,0,0,1
436,65,0,2,1,14943.26,0.21,0.21,0,1,0
437,58,1,1,0,4330.44,0.2,1428.77,0,0,1
438,52,0,2,1,4491.79,143.01,10.32,1,1,0
439,40,1,2,0,5092.49,150.36,0.36,0,0,1
440,42,0,2,1,4746.58,0.63,0.63,0,1,0
441,20,0,0,0,1775.47,0.53,31.39,0,0,1
442,50,0,1,1,17946.86,0.09,0.09,0,1,0
443,53,0,2,1,11252.14,0.04,0.04,0,1,0
444,47,0,2,1,4928.89,6907.4,11147.37,1,1,0
445,47,0,2,1,5163.22,0.27,643.13,0,1,0
446,35,0,2,1,3267.88,0.24,0.24,0,1,0
447,26,0,0,1,29.59,0.61,0.61,1,1,0
448,43,0,2,1,475.54,5857.46,0.31,0,1,0
449,36,0,2,0,6128.43,0.49,0.49,0,1,0
450,34,0,2,1,3050.77,643.53,0.67,0,0,1
451,32,0,2,1,2449.78,0.1,0.1,1,0,1
452,46,0,2,3,5333.27,1857.2,1857.2,0,1,0
453,34,0,2,1,2930.15,0.21,1000.21,0,0,1
454,72,0,1,1,6628.76,0.59,0.59,0,0,1
455,69,0,4,1,619.54,0.14,4285.86,1,0,1
456,50,1,1,0,3085.89,0.7,0.7,0,0,1
457,55,1,2,0,1599.01,848.64,571.5,0,0,1
458,35,0,1,0,9585.21,0.29,0.29,0,0,1
459,74,0,2,0,2063.38,0.19,0.19,0,1,0
460,61,1,2,1,11945.51,80714.69,0.4,0,0,1
461,34,0,2,0,3455.52,0.56,0.56,0,1,0
462,39,0,2,0,7640.48,0.54,0.54,0,1,0
463,38,0,2,0,18573.1,37120.0,0.44,0,0,1
464,40,0,1,0,6885.32,21736.21,23240.84,0,0,1
465,81,0,2,1,2544.52,1384.5,26379.42,0,1,0
466,38,0,2,1,6044.34,0.13,0.13,1,0,1
467,37,0,2,0,4373.34,1386.04,2857.47,0,1,0
468,34,0,2,0,23925.5,7.77,0.63,0,0,1
469,67,0,1,0,342.92,0.16,5771.59,1,0,1
470,67,0,1,1,8056.14,2857.44,0.3,0,1,0
471,44,0,1,3,161303.46,4230.31,128331.63,0,0,1
472,26,0,1,3,2200.65,810.46,741.54,0,0,1
